idx,relative_path_to_video,datasetID,subjectNr,start,end,label,class,subjects,trainTest
23,CAUCAFall/video/forward/FallForwardS3.avi,2,3,4200.0,7650.0,1,Forward Fall,single,TEST
24,CAUCAFall/video/side/FallLeftS3.avi,2,3,0.0,5050.0,0,NoFall,single,TEST
25,CAUCAFall/video/side/FallLeftS3.avi,2,3,5100.0,8550.0,3,Side Fall,single,TEST
26,CAUCAFall/video/side/FallRightS3.avi,2,3,0.0,2600.0,0,NoFall,single,TEST
27,CAUCAFall/video/side/FallRightS3.avi,2,3,2650.0,11000.0,3,Side Fall,single,TEST
28,CAUCAFall/video/side/FallSittingS3.avi,2,3,0.0,2500.0,0,NoFall,single,TEST
29,CAUCAFall/video/side/FallSittingS3.avi,2,3,2550.0,10100.0,3,Side Fall,single,TEST
30,CAUCAFall/video/backwards/FallBackwardsS4.avi,2,4,0.0,3450.0,0,NoFall,single,VALIDATION
31,CAUCAFall/video/backwards/FallBackwardsS4.avi,2,4,3500.0,9600.0,2,Backward Fall,single,TRAIN
32,CAUCAFall/video/forward/FallForwardS4.avi,2,4,0.0,1200.0,0,NoFall,single,VALIDATION
33,CAUCAFall/video/forward/FallForwardS4.avi,2,4,1250.0,8400.0,1,Forward Fall,single,VALIDATION
34,CAUCAFall/video/side/FallLeftS4.avi,2,4,0.0,3000.0,0,NoFall,single,TRAIN
35,CAUCAFall/video/side/FallLeftS4.avi,2,4,3050.0,8100.0,3,Side Fall,single,TRAIN
36,CAUCAFall/video/side/FallRightS4.avi,2,4,0.0,2300.0,0,NoFall,single,TRAIN
37,CAUCAFall/video/side/FallRightS4.avi,2,4,2350.0,7500.0,3,Side Fall,single,TRAIN
38,CAUCAFall/video/side/FallSittingS4.avi,2,4,0.0,3000.0,0,NoFall,single,TRAIN
39,CAUCAFall/video/side/FallSittingS4.avi,2,4,3050.0,9900.0,3,Side Fall,single,TRAIN
40,CAUCAFall/video/backwards/FallBackwardsS5.avi,2,5,0.0,2350.0,0,NoFall,single,TEST
41,CAUCAFall/video/backwards/FallBackwardsS5.avi,2,5,2400.0,10700.0,2,Backward Fall,single,TEST
42,CAUCAFall/video/forward/FallForwardS5.avi,2,5,0.0,2850.0,0,NoFall,single,TEST
43,CAUCAFall/video/forward/FallForwardS5.avi,2,5,2900.0,10000.0,1,Forward Fall,single,TEST
44,CAUCAFall/video/side/FallLeftS5.avi,2,5,0.0,3750.0,0,NoFall,single,TEST
45,CAUCAFall/video/side/FallLeftS5.avi,2,5,3800.0,12350.0,3,Side Fall,single,TEST
46,CAUCAFall/video/side/FallRightS5.avi,2,5,0.0,3700.0,0,NoFall,single,TEST
47,CAUCAFall/video/side/FallRightS5.avi,2,5,3750.0,10950.0,3,Side Fall,single,TEST
48,CAUCAFall/video/side/FallSittingS5.avi,2,5,0.0,3400.0,0,NoFall,single,TEST
49,CAUCAFall/video/side/FallSittingS5.avi,2,5,3450.0,11450.0,3,Side Fall,single,TEST
50,CAUCAFall/video/backwards/FallBackwardsS6.avi,2,6,0.0,4500.0,0,NoFall,single,TRAIN
51,CAUCAFall/video/backwards/FallBackwardsS6.avi,2,6,4550.0,12800.0,2,Backward Fall,single,TRAIN
52,CAUCAFall/video/forward/FallForwardS6.avi,2,6,0.0,4100.0,0,NoFall,single,TRAIN
53,CAUCAFall/video/forward/FallForwardS6.avi,2,6,4150.0,10100.0,1,Forward Fall,single,TRAIN
54,CAUCAFall/video/side/FallLeftS6.avi,2,6,0.0,2500.0,0,NoFall,single,VALIDATION
55,CAUCAFall/video/side/FallLeftS6.avi,2,6,2550.0,11450.0,3,Side Fall,single,VALIDATION
56,CAUCAFall/video/side/FallRightS6.avi,2,6,0.0,4000.0,0,NoFall,single,TRAIN
57,CAUCAFall/video/side/FallRightS6.avi,2,6,4050.0,11450.0,3,Side Fall,single,VALIDATION
58,CAUCAFall/video/side/FallSittingS6.avi,2,6,0.0,5300.0,0,NoFall,single,TRAIN
59,CAUCAFall/video/side/FallSittingS6.avi,2,6,5350.0,12400.0,3,Side Fall,single,TRAIN
60,CAUCAFall/video/backwards/FallBackwardsS7.avi,2,7,0.0,4550.0,0,NoFall,single,TRAIN
61,CAUCAFall/video/backwards/FallBackwardsS7.avi,2,7,4600.0,12600.0,2,Backward Fall,single,VALIDATION
62,CAUCAFall/video/forward/FallForwardS7.avi,2,7,0.0,2100.0,0,NoFall,single,TRAIN
63,CAUCAFall/video/forward/FallForwardS7.avi,2,7,2150.0,8100.0,1,Forward Fall,single,TRAIN
64,CAUCAFall/video/side/FallLeftS7.avi,2,7,0.0,3600.0,0,NoFall,single,TRAIN
65,CAUCAFall/video/side/FallLeftS7.avi,2,7,3650.0,10600.0,3,Side Fall,single,VALIDATION
66,CAUCAFall/video/side/FallRightS7.avi,2,7,0.0,2250.0,0,NoFall,single,TRAIN
67,CAUCAFall/video/side/FallRightS7.avi,2,7,2300.0,8300.0,3,Side Fall,single,TRAIN
68,CAUCAFall/video/side/FallSittingS7.avi,2,7,0.0,2300.0,0,NoFall,single,TRAIN
69,CAUCAFall/video/side/FallSittingS7.avi,2,7,2350.0,10350.0,3,Side Fall,single,TRAIN
70,CAUCAFall/video/backwards/FallBackwardsS8.avi,2,8,0.0,3150.0,0,NoFall,single,TRAIN
71,CAUCAFall/video/backwards/FallBackwardsS8.avi,2,8,3200.0,10600.0,2,Backward Fall,single,TRAIN
72,CAUCAFall/video/forward/FallForwardS8.avi,2,8,0.0,1950.0,0,NoFall,single,TRAIN
73,CAUCAFall/video/forward/FallForwardS8.avi,2,8,2000.0,6100.0,1,Forward Fall,single,TRAIN
74,CAUCAFall/video/side/FallLeftS8.avi,2,8,0.0,2800.0,0,NoFall,single,TRAIN
75,CAUCAFall/video/side/FallLeftS8.avi,2,8,2850.0,10100.0,3,Side Fall,single,TRAIN
76,CAUCAFall/video/side/FallRightS8.avi,2,8,0.0,2900.0,0,NoFall,single,VALIDATION
77,CAUCAFall/video/side/FallRightS8.avi,2,8,2950.0,11450.0,3,Side Fall,single,TRAIN
78,CAUCAFall/video/side/FallSittingS8.avi,2,8,0.0,3950.0,0,NoFall,single,TRAIN
79,CAUCAFall/video/side/FallSittingS8.avi,2,8,4000.0,11700.0,3,Side Fall,single,TRAIN
80,CAUCAFall/video/backwards/FallBackwardsS9.avi,2,9,0.0,3200.0,0,NoFall,single,TRAIN
81,CAUCAFall/video/backwards/FallBackwardsS9.avi,2,9,3250.0,12600.0,2,Backward Fall,single,TRAIN
82,CAUCAFall/video/forward/FallForwardS9.avi,2,9,0.0,2750.0,0,NoFall,single,TRAIN
83,CAUCAFall/video/forward/FallForwardS9.avi,2,9,2800.0,5100.0,1,Forward Fall,single,TRAIN
84,CAUCAFall/video/forward/FallForwardS9.avi,2,9,5150.0,7400.0,0,NoFall,single,VALIDATION
85,CAUCAFall/video/side/FallLeftS9.avi,2,9,0.0,2700.0,0,NoFall,single,TRAIN
86,CAUCAFall/video/side/FallLeftS9.avi,2,9,2750.0,10350.0,3,Side Fall,single,TRAIN
87,CAUCAFall/video/side/FallRightS9.avi,2,9,0.0,2800.0,0,NoFall,single,TRAIN
88,CAUCAFall/video/side/FallRightS9.avi,2,9,2850.0,9450.0,3,Side Fall,single,TRAIN
89,CAUCAFall/video/side/FallSittingS9.avi,2,9,0.0,4400.0,0,NoFall,single,TRAIN
90,CAUCAFall/video/side/FallSittingS9.avi,2,9,4450.0,10800.0,3,Side Fall,single,TRAIN
91,CAUCAFall/video/backwards/FallBackwardsS10.avi,2,10,0.0,3850.0,0,NoFall,single,TRAIN
92,CAUCAFall/video/backwards/FallBackwardsS10.avi,2,10,3900.0,13700.0,2,Backward Fall,single,TRAIN
93,CAUCAFall/video/forward/FallForwardS10.avi,2,10,0.0,2600.0,0,NoFall,single,TRAIN
94,CAUCAFall/video/forward/FallForwardS10.avi,2,10,2650.0,12150.0,1,Forward Fall,single,VALIDATION
95,CAUCAFall/video/side/FallLeftS10.avi,2,10,0.0,2450.0,0,NoFall,single,VALIDATION
96,CAUCAFall/video/side/FallLeftS10.avi,2,10,2500.0,10600.0,3,Side Fall,single,TRAIN
97,CAUCAFall/video/side/FallRightS10.avi,2,10,0.0,3650.0,0,NoFall,single,VALIDATION
98,CAUCAFall/video/side/FallRightS10.avi,2,10,3700.0,10100.0,3,Side Fall,single,TRAIN
99,CAUCAFall/video/side/FallSittingS10.avi,2,10,0.0,3750.0,0,NoFall,single,TRAIN
100,CAUCAFall/video/side/FallSittingS10.avi,2,10,3800.0,14400.0,3,Side Fall,single,VALIDATION
101,CAUCAFall/video/adl/HopS1.avi,2,1,0.0,9100.0,0,NoFall,single,TRAIN
102,CAUCAFall/video/adl/HopS2.avi,2,2,0.0,8550.0,0,NoFall,single,TRAIN
103,CAUCAFall/video/adl/HopS3.avi,2,3,0.0,8100.0,0,NoFall,single,TEST
104,CAUCAFall/video/adl/HopS4.avi,2,4,0.0,7200.0,0,NoFall,single,TRAIN
105,CAUCAFall/video/adl/HopS5.avi,2,5,0.0,6100.0,0,NoFall,single,TEST
106,CAUCAFall/video/adl/HopS6.avi,2,6,0.0,8100.0,0,NoFall,single,TRAIN
107,CAUCAFall/video/adl/HopS7.avi,2,7,0.0,9900.0,0,NoFall,single,VALIDATION
108,CAUCAFall/video/adl/HopS8.avi,2,8,0.0,8300.0,0,NoFall,single,TRAIN
109,CAUCAFall/video/adl/HopS9.avi,2,9,0.0,10600.0,0,NoFall,single,TRAIN
110,CAUCAFall/video/adl/HopS10.avi,2,10,0.0,12400.0,0,NoFall,single,TRAIN
111,CAUCAFall/video/adl/KneelS1.avi,2,1,0.0,10950.0,0,NoFall,single,TRAIN
112,CAUCAFall/video/adl/KneelS2.avi,2,2,0.0,6500.0,0,NoFall,single,TRAIN
113,CAUCAFall/video/adl/KneelS3.avi,2,3,0.0,10650.0,0,NoFall,single,TEST
114,CAUCAFall/video/adl/KneelS4.avi,2,4,0.0,11100.0,0,NoFall,single,TRAIN
115,CAUCAFall/video/adl/KneelS5.avi,2,5,0.0,11750.0,0,NoFall,single,TEST
116,CAUCAFall/video/adl/KneelS6.avi,2,6,0.0,9450.0,0,NoFall,single,TRAIN
117,CAUCAFall/video/adl/KneelS7.avi,2,7,0.0,10100.0,0,NoFall,single,TRAIN
118,CAUCAFall/video/adl/KneelS8.avi,2,8,0.0,12800.0,0,NoFall,single,VALIDATION
119,CAUCAFall/video/adl/KneelS9.avi,2,9,0.0,10800.0,0,NoFall,single,TRAIN
120,CAUCAFall/video/adl/KneelS10.avi,2,10,0.0,13050.0,0,NoFall,single,TRAIN
121,CAUCAFall/video/adl/PickupobjectS1.avi,2,1,0.0,5850.0,0,NoFall,single,TRAIN
122,CAUCAFall/video/adl/PickupobjectS2.avi,2,2,0.0,8300.0,0,NoFall,single,TRAIN
123,CAUCAFall/video/adl/PickupobjectS3.avi,2,3,0.0,9300.0,0,NoFall,single,TEST
124,CAUCAFall/video/adl/PickupobjectS4.avi,2,4,0.0,8950.0,0,NoFall,single,TRAIN
125,CAUCAFall/video/adl/PickupobjectS5.avi,2,5,0.0,13550.0,0,NoFall,single,TEST
126,CAUCAFall/video/adl/PickupobjectS6.avi,2,6,0.0,10100.0,0,NoFall,single,TRAIN
127,CAUCAFall/video/adl/PickupobjectS7.avi,2,7,0.0,7650.0,0,NoFall,single,TRAIN
128,CAUCAFall/video/adl/PickupobjectS8.avi,2,8,0.0,13300.0,0,NoFall,single,TRAIN
129,CAUCAFall/video/adl/PickupobjectS9.avi,2,9,0.0,11000.0,0,NoFall,single,VALIDATION
130,CAUCAFall/video/adl/PickupobjectS10.avi,2,10,0.0,14600.0,0,NoFall,single,TRAIN
131,CAUCAFall/video/adl/SitDownS1.avi,2,1,0.0,9400.0,0,NoFall,single,TRAIN
132,CAUCAFall/video/adl/SitDownS2.avi,2,2,0.0,5600.0,0,NoFall,single,TRAIN
133,CAUCAFall/video/adl/SitDownS3.avi,2,3,0.0,13050.0,0,NoFall,single,TEST
134,CAUCAFall/video/adl/SitDownS4.avi,2,4,0.0,9950.0,0,NoFall,single,TRAIN
135,CAUCAFall/video/adl/SitDownS5.avi,2,5,0.0,13000.0,0,NoFall,single,TEST
136,CAUCAFall/video/adl/SitDownS6.avi,2,6,0.0,9450.0,0,NoFall,single,TRAIN
137,CAUCAFall/video/adl/SitDownS7.avi,2,7,0.0,9650.0,0,NoFall,single,TRAIN
138,CAUCAFall/video/adl/SitDownS8.avi,2,8,0.0,10600.0,0,NoFall,single,VALIDATION
139,CAUCAFall/video/adl/SitDownS9.avi,2,9,0.0,11900.0,0,NoFall,single,TRAIN
140,CAUCAFall/video/adl/SitDownS10.avi,2,10,0.0,11700.0,0,NoFall,single,TRAIN
141,CAUCAFall/video/adl/WalkS1.avi,2,1,0.0,12100.0,0,NoFall,single,TRAIN
142,CAUCAFall/video/adl/WalkS2.avi,2,2,0.0,12200.0,0,NoFall,single,TRAIN
143,CAUCAFall/video/adl/WalkS3.avi,2,3,0.0,5800.0,0,NoFall,single,TEST
144,CAUCAFall/video/adl/WalkS4.avi,2,4,0.0,12000.0,0,NoFall,single,TRAIN
145,CAUCAFall/video/adl/WalkS5.avi,2,5,0.0,11300.0,0,NoFall,single,TEST
146,CAUCAFall/video/adl/WalkS6.avi,2,6,0.0,13300.0,0,NoFall,single,VALIDATION
147,CAUCAFall/video/adl/WalkS7.avi,2,7,0.0,9650.0,0,NoFall,single,VALIDATION
148,CAUCAFall/video/adl/WalkS8.avi,2,8,0.0,10800.0,0,NoFall,single,TRAIN
149,CAUCAFall/video/adl/WalkS9.avi,2,9,0.0,11700.0,0,NoFall,single,TRAIN
150,CAUCAFall/video/adl/WalkS10.avi,2,10,0.0,11250.0,0,NoFall,single,VALIDATION
151,EDF/EDF/zhong/zhong/view1/rgb/zhong_view1_rgb.mp4,5,11,32200.0,33733.0,1,Forward Fall,single,TRAIN
152,EDF/EDF/zhong/zhong/view1/rgb/zhong_view1_rgb.mp4,5,11,33767.0,45367.0,0,NoFall,single,TRAIN
153,EDF/EDF/zhong/zhong/view1/rgb/zhong_view1_rgb.mp4,5,11,45400.0,46900.0,1,Forward Fall,single,VALIDATION
154,EDF/EDF/zhong/zhong/view1/rgb/zhong_view1_rgb.mp4,5,11,46933.0,60300.0,0,NoFall,single,VALIDATION
155,EDF/EDF/zhong/zhong/view1/rgb/zhong_view1_rgb.mp4,5,11,60333.0,62067.0,1,Forward Fall,single,TRAIN
156,EDF/EDF/zhong/zhong/view1/rgb/zhong_view1_rgb.mp4,5,11,62100.0,79600.0,0,NoFall,single,TRAIN
157,EDF/EDF/zhong/zhong/view1/rgb/zhong_view1_rgb.mp4,5,11,79633.0,81467.0,1,Forward Fall,single,TRAIN
158,EDF/EDF/zhong/zhong/view1/rgb/zhong_view1_rgb.mp4,5,11,81500.0,108733.0,0,NoFall,single,TRAIN
159,EDF/EDF/zhong/zhong/view1/rgb/zhong_view1_rgb.mp4,5,11,108767.0,110267.0,1,Forward Fall,single,TRAIN
160,EDF/EDF/zhong/zhong/view1/rgb/zhong_view1_rgb.mp4,5,11,110300.0,122967.0,0,NoFall,single,TRAIN
161,EDF/EDF/zhong/zhong/view1/rgb/zhong_view1_rgb.mp4,5,11,123000.0,124733.0,1,Forward Fall,single,TRAIN
162,EDF/EDF/zhong/zhong/view1/rgb/zhong_view1_rgb.mp4,5,11,124767.0,154067.0,0,NoFall,single,VALIDATION
163,EDF/EDF/zhong/zhong/view1/rgb/zhong_view1_rgb.mp4,5,11,154100.0,155500.0,1,Forward Fall,single,TRAIN
164,EDF/EDF/zhong/zhong/view1/rgb/zhong_view1_rgb.mp4,5,11,155533.0,167900.0,0,NoFall,single,TRAIN
165,EDF/EDF/zhong/zhong/view1/rgb/zhong_view1_rgb.mp4,5,11,167933.0,169467.0,1,Forward Fall,single,TRAIN
166,EDF/EDF/zhong/zhong/view1/rgb/zhong_view1_rgb.mp4,5,11,169500.0,207133.0,0,NoFall,single,TRAIN
167,EDF/EDF/zhong/zhong/view2/rgb/zhong_view2_rgb.mp4,5,11,32367.0,34000.0,1,Forward Fall,single,TRAIN
168,EDF/EDF/zhong/zhong/view2/rgb/zhong_view2_rgb.mp4,5,11,34033.0,45600.0,0,NoFall,single,TRAIN
169,EDF/EDF/zhong/zhong/view2/rgb/zhong_view2_rgb.mp4,5,11,45633.0,47200.0,1,Forward Fall,single,TRAIN
170,EDF/EDF/zhong/zhong/view2/rgb/zhong_view2_rgb.mp4,5,11,47233.0,60667.0,0,NoFall,single,TRAIN
171,EDF/EDF/zhong/zhong/view2/rgb/zhong_view2_rgb.mp4,5,11,60700.0,62333.0,1,Forward Fall,single,VALIDATION
172,EDF/EDF/zhong/zhong/view2/rgb/zhong_view2_rgb.mp4,5,11,62367.0,79800.0,0,NoFall,single,TRAIN
173,EDF/EDF/zhong/zhong/view2/rgb/zhong_view2_rgb.mp4,5,11,79833.0,81367.0,1,Forward Fall,single,TRAIN
174,EDF/EDF/zhong/zhong/view2/rgb/zhong_view2_rgb.mp4,5,11,81400.0,108233.0,0,NoFall,single,TRAIN
175,EDF/EDF/zhong/zhong/view2/rgb/zhong_view2_rgb.mp4,5,11,108267.0,109933.0,1,Forward Fall,single,TRAIN
176,EDF/EDF/zhong/zhong/view2/rgb/zhong_view2_rgb.mp4,5,11,109967.0,123000.0,0,NoFall,single,TRAIN
177,EDF/EDF/zhong/zhong/view2/rgb/zhong_view2_rgb.mp4,5,11,123033.0,124667.0,1,Forward Fall,single,TRAIN
178,EDF/EDF/zhong/zhong/view2/rgb/zhong_view2_rgb.mp4,5,11,124700.0,153400.0,0,NoFall,single,TRAIN
179,EDF/EDF/zhong/zhong/view2/rgb/zhong_view2_rgb.mp4,5,11,153433.0,155000.0,1,Forward Fall,single,TRAIN
180,EDF/EDF/zhong/zhong/view2/rgb/zhong_view2_rgb.mp4,5,11,155033.0,166600.0,0,NoFall,single,TRAIN
181,EDF/EDF/zhong/zhong/view2/rgb/zhong_view2_rgb.mp4,5,11,166633.0,168367.0,1,Forward Fall,single,TRAIN
182,EDF/EDF/zhong/zhong/view2/rgb/zhong_view2_rgb.mp4,5,11,168400.0,202333.0,0,NoFall,single,TRAIN
183,EDF/EDF/peter/peter/view1/rgb/peter_view1_rgb.mp4,5,12,34100.0,36700.0,1,Forward Fall,single,TRAIN
184,EDF/EDF/peter/peter/view1/rgb/peter_view1_rgb.mp4,5,12,36733.0,44967.0,0,NoFall,single,VALIDATION
185,EDF/EDF/peter/peter/view1/rgb/peter_view1_rgb.mp4,5,12,45000.0,47667.0,1,Forward Fall,single,TRAIN
186,EDF/EDF/peter/peter/view1/rgb/peter_view1_rgb.mp4,5,12,47700.0,57367.0,0,NoFall,single,TRAIN
187,EDF/EDF/peter/peter/view1/rgb/peter_view1_rgb.mp4,5,12,57400.0,59267.0,1,Forward Fall,single,VALIDATION
188,EDF/EDF/peter/peter/view1/rgb/peter_view1_rgb.mp4,5,12,59300.0,68467.0,0,NoFall,single,TRAIN
189,EDF/EDF/peter/peter/view1/rgb/peter_view1_rgb.mp4,5,12,68500.0,70467.0,1,Forward Fall,single,TRAIN
190,EDF/EDF/peter/peter/view1/rgb/peter_view1_rgb.mp4,5,12,70500.0,101833.0,0,NoFall,single,TRAIN
191,EDF/EDF/peter/peter/view1/rgb/peter_view1_rgb.mp4,5,12,101867.0,103333.0,1,Forward Fall,single,VALIDATION
192,EDF/EDF/peter/peter/view1/rgb/peter_view1_rgb.mp4,5,12,103367.0,111967.0,0,NoFall,single,TRAIN
193,EDF/EDF/peter/peter/view1/rgb/peter_view1_rgb.mp4,5,12,112000.0,114167.0,1,Forward Fall,single,TRAIN
194,EDF/EDF/peter/peter/view1/rgb/peter_view1_rgb.mp4,5,12,114200.0,145067.0,0,NoFall,single,TRAIN
195,EDF/EDF/peter/peter/view1/rgb/peter_view1_rgb.mp4,5,12,145100.0,147233.0,1,Forward Fall,single,TRAIN
196,EDF/EDF/peter/peter/view1/rgb/peter_view1_rgb.mp4,5,12,147267.0,157400.0,0,NoFall,single,TRAIN
197,EDF/EDF/peter/peter/view1/rgb/peter_view1_rgb.mp4,5,12,157433.0,159233.0,1,Forward Fall,single,TRAIN
198,EDF/EDF/peter/peter/view1/rgb/peter_view1_rgb.mp4,5,12,159267.0,225000.0,0,NoFall,single,TRAIN
199,EDF/EDF/peter/peter/view2/rgb/peter_view2_rgb.mp4,5,12,24967.0,27567.0,1,Forward Fall,single,VALIDATION
200,EDF/EDF/peter/peter/view2/rgb/peter_view2_rgb.mp4,5,12,27600.0,35833.0,0,NoFall,single,TRAIN
201,EDF/EDF/peter/peter/view2/rgb/peter_view2_rgb.mp4,5,12,35867.0,38533.0,1,Forward Fall,single,VALIDATION
202,EDF/EDF/peter/peter/view2/rgb/peter_view2_rgb.mp4,5,12,38567.0,48233.0,0,NoFall,single,TRAIN
203,EDF/EDF/peter/peter/view2/rgb/peter_view2_rgb.mp4,5,12,48267.0,50133.0,1,Forward Fall,single,TRAIN
204,EDF/EDF/peter/peter/view2/rgb/peter_view2_rgb.mp4,5,12,50167.0,59333.0,0,NoFall,single,VALIDATION
205,EDF/EDF/peter/peter/view2/rgb/peter_view2_rgb.mp4,5,12,59367.0,61333.0,1,Forward Fall,single,TRAIN
206,EDF/EDF/peter/peter/view2/rgb/peter_view2_rgb.mp4,5,12,61367.0,92700.0,0,NoFall,single,TRAIN
207,EDF/EDF/peter/peter/view2/rgb/peter_view2_rgb.mp4,5,12,92733.0,94200.0,1,Forward Fall,single,TRAIN
208,EDF/EDF/peter/peter/view2/rgb/peter_view2_rgb.mp4,5,12,94233.0,102833.0,0,NoFall,single,TRAIN
209,EDF/EDF/peter/peter/view2/rgb/peter_view2_rgb.mp4,5,12,102867.0,105033.0,1,Forward Fall,single,TRAIN
210,EDF/EDF/peter/peter/view2/rgb/peter_view2_rgb.mp4,5,12,105067.0,136267.0,0,NoFall,single,TRAIN
211,EDF/EDF/peter/peter/view2/rgb/peter_view2_rgb.mp4,5,12,136300.0,138433.0,1,Forward Fall,single,VALIDATION
212,EDF/EDF/peter/peter/view2/rgb/peter_view2_rgb.mp4,5,12,138467.0,148267.0,0,NoFall,single,TRAIN
213,EDF/EDF/peter/peter/view2/rgb/peter_view2_rgb.mp4,5,12,148300.0,150100.0,1,Forward Fall,single,TRAIN
214,EDF/EDF/peter/peter/view2/rgb/peter_view2_rgb.mp4,5,12,150133.0,209433.0,0,NoFall,single,TRAIN
215,EDF/EDF/jianjun/jianjun/view1/rgb/jianjun_view1_rgb.mp4,5,13,35633.0,36567.0,1,Forward Fall,single,TRAIN
216,EDF/EDF/jianjun/jianjun/view1/rgb/jianjun_view1_rgb.mp4,5,13,36600.0,44500.0,0,NoFall,single,TRAIN
217,EDF/EDF/jianjun/jianjun/view1/rgb/jianjun_view1_rgb.mp4,5,13,44533.0,45800.0,1,Forward Fall,single,TRAIN
218,EDF/EDF/jianjun/jianjun/view1/rgb/jianjun_view1_rgb.mp4,5,13,45833.0,55433.0,0,NoFall,single,TRAIN
219,EDF/EDF/jianjun/jianjun/view1/rgb/jianjun_view1_rgb.mp4,5,13,55467.0,57133.0,1,Forward Fall,single,TRAIN
220,EDF/EDF/jianjun/jianjun/view1/rgb/jianjun_view1_rgb.mp4,5,13,57167.0,68433.0,0,NoFall,single,TRAIN
221,EDF/EDF/jianjun/jianjun/view1/rgb/jianjun_view1_rgb.mp4,5,13,68467.0,70000.0,1,Forward Fall,single,TRAIN
222,EDF/EDF/jianjun/jianjun/view1/rgb/jianjun_view1_rgb.mp4,5,13,70033.0,82400.0,0,NoFall,single,TRAIN
223,EDF/EDF/jianjun/jianjun/view1/rgb/jianjun_view1_rgb.mp4,5,13,82433.0,83933.0,1,Forward Fall,single,TRAIN
224,EDF/EDF/jianjun/jianjun/view1/rgb/jianjun_view1_rgb.mp4,5,13,83967.0,92267.0,0,NoFall,single,VALIDATION
225,EDF/EDF/jianjun/jianjun/view1/rgb/jianjun_view1_rgb.mp4,5,13,92300.0,94067.0,1,Forward Fall,single,VALIDATION
226,EDF/EDF/jianjun/jianjun/view1/rgb/jianjun_view1_rgb.mp4,5,13,94100.0,105367.0,0,NoFall,single,VALIDATION
227,EDF/EDF/jianjun/jianjun/view1/rgb/jianjun_view1_rgb.mp4,5,13,105400.0,107067.0,1,Forward Fall,single,TRAIN
228,EDF/EDF/jianjun/jianjun/view1/rgb/jianjun_view1_rgb.mp4,5,13,107100.0,115033.0,0,NoFall,single,VALIDATION
229,EDF/EDF/jianjun/jianjun/view1/rgb/jianjun_view1_rgb.mp4,5,13,115067.0,116900.0,1,Forward Fall,single,VALIDATION
230,EDF/EDF/jianjun/jianjun/view1/rgb/jianjun_view1_rgb.mp4,5,13,116933.0,159500.0,0,NoFall,single,VALIDATION
231,EDF/EDF/jianjun/jianjun/view2/rgb/jianjun_view2_rgb.mp4,5,13,29833.0,31333.0,1,Forward Fall,single,TRAIN
232,EDF/EDF/jianjun/jianjun/view2/rgb/jianjun_view2_rgb.mp4,5,13,31367.0,38933.0,0,NoFall,single,TRAIN
